n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
762,1455,4549,4680,4302,4116
763,1458,4560,4687,4312,4122
764,1460,4565,4697,4326,4129
765,1462,4570,4703,4361,4138
766,1464,4580,4709,4351,4141
767,1467,4578,4716,4339,4148
768,1469,4590,4720,4386,4156
769,1471,4595,4732,4353,4158
770,1474,4605,4739,4373,4164
771,1476,4609,4751,4366,4174
772,1478,4628,4749,4378,4179
773,1481,4631,4756,4369,4189
774,1483,4652,4762,4396,4192
775,1485,4646,4768,4443,4198
776,1487,4655,4776,4403,4204
777,1490,4664,4788,4460,4212
778,1493,4673,4788,4441,4218
779,1495,4675,4794,4455,4227
780,1498,4694,4804,4455,4234
781,1500,4695,4813,4483,4238
782,1502,4698,4814,4500,4253
783,1504,4714,4826,4450,4250
784,1506,4722,4830,4461,4256
785,1508,4727,4842,4508,4247
786,1511,4746,4844,4475,4271
787,1513,4738,4853,4525,4280
788,1515,4747,4858,4519,4271
789,1518,4761,4864,4491,4294
790,1520,4785,4871,4521,4296
791,1522,4786,4880,4507,4303
792,1524,4789,4885,4544,4311
793,1527,4788,4894,4576,4316
794,1532,4806,4901,4528,4325
795,1532,4813,4912,4532,4328
796,1534,4817,4910,4565,4340
797,1536,4827,4928,4550,4341
798,1539,4826,4925,4562,4348
799,1540,4839,4936,4608,4355
800,1543,4838,4939,4564,4360
801,1546,4858,4946,4620,4367
802,1549,4861,4962,4612,4374
803,1550,4869,4958,4584,4369
804,1553,4867,4973,4641,4387
805,1555,4886,4977,4641,4381
806,1557,4882,4977,4608,4403
807,1559,4898,4990,4613,4404
808,1562,4901,4999,4617,4412
809,1564,4906,4998,4626,4416
810,1566,4918,5015,4683,4423
811,1569,4916,5021,4706,4415
812,1571,4927,5009,4664,4422
813,1561,4923,5013,4660,4426
814,1563,4932,5025,4689,4437
815,1566,4948,5027,4724,4428
816,1567,4939,5033,4716,4447
817,1570,4950,5034,4726,4455
818,1572,4956,5043,4684,4459
819,1575,4970,5049,4735,4458
820,1577,4975,5062,4690,4459
821,1579,4977,5060,4699,4481
822,1582,4992,5068,4697,4471
823,1584,4998,5081,4767,4490
824,1586,4994,5088,4725,4495
825,1588,5003,5086,4745,4490
826,1590,5011,5091,4761,4508
827,1592,5025,5100,4767,4515
828,1595,5030,5106,4819,4523
829,1596,5039,5109,4798,4530
830,1601,5039,5121,4809,4531
831,1602,5049,5122,4820,4537
832,1604,5057,5139,4827,4543
833,1606,5061,5140,4769,4550
834,1609,5069,5152,4771,4558
835,1611,5069,5153,4790,4563
836,1613,5087,5168,4844,4570
837,1616,5092,5166,4818,4581
838,1618,5102,5175,4819,4584
839,1620,5105,5182,4843,4589
840,1623,5113,5188,4877,4595
841,1625,5112,5195,4835,4591
842,1627,5123,5201,4840,4608
843,1630,5136,5217,4850,4615
844,1632,5137,5214,4900,4621
845,1634,5140,5230,4861,4614
846,1636,5157,5239,4910,4620
847,1639,5156,5237,4902,4638
848,1642,5172,5241,4915,4635
849,1643,5173,5248,4906,4650
850,1646,5188,5264,4914,4660
851,1648,5188,5271,4959,4663
852,1651,5194,5271,4916,4658
853,1654,5198,5275,4961,4665
854,1656,5210,5284,4977,4681
855,1657,5218,5287,4988,4677
856,1659,5237,5297,4941,4684
857,1661,5225,5300,5013,4705
858,1665,5234,5309,4993,4705
859,1666,5239,5316,4966,4710
860,1669,5251,5325,4971,4716
861,1670,5251,5332,4957,4722
862,1675,5259,5344,5056,4727
863,1676,5272,5343,5017,4733
864,1678,5279,5356,5054,4740
865,1681,5286,5356,5019,4737
866,1684,5293,5361,4987,4742
867,1685,5292,5368,5090,4747
868,1688,5301,5380,5069,4754
869,1691,5303,5383,5019,4769
870,1692,5316,5396,5035,4777
871,1694,5330,5394,5066,4781
